route,seq,id,name,lon,lat,han
mkkk42-kiamusze-fuyuan,2,,Luobei (Lopei),131.03,47.88,蘿北
mkkk42-kiamusze-fuyuan,3,,Fujin (Fuchin),132.03,47.25,富錦
mkkk42-kiamusze-fuyuan,4,,Tongjiang (Tungkiang),132.51,47.65,同江
mkkk42-kiamusze-fuyuan,5,,Fuyuan,134.29,48.36,撫遠
mkkk42-kiamusze-fenghsiang-fuchin,1,jiamusi,Jiamusi (Kiamusze),130.32,46.81,佳木斯
mkkk42-kiamusze-fenghsiang-fuchin,2,,Fengxiang (Fenghsiangchen),130.83,47.58,鳳翔鎮
mkkk42-kiamusze-fenghsiang-fuchin,3,,Fujin (Fuchin),132.03,47.25,富錦
cak42-peking-dairen,1,beijing,Beijing (Peking),116.4,39.9,北京
cak42-peking-dairen,2,tianjin,Tianjin (Tientsin),117.2,39.13,天津
cak42-peking-dairen,3,dairen,Dalian (Dairen),121.61,38.91,大連
cak42-peking-shanghai,1,beijing,Beijing (Peking),116.4,39.9,北京
cak42-peking-shanghai,2,tianjin,Tianjin (Tientsin),117.2,39.13,天津
cak42-peking-shanghai,3,jinan,Jinan (Tsinan),116.99,36.67,濟南
cak42-peking-shanghai,4,xuzhou,Xuzhou (Hsüchow),117.19,34.26,徐州
cak42-peking-shanghai,5,nanjing,Nanjing (Nanking),118.8,32.06,南京
cak42-peking-shanghai,6,shanghai,Shanghai,121.47,31.23,上海
cak42-peking-paotow,1,beijing,Beijing (Peking),116.4,39.9,北京
cak42-peking-paotow,2,kalgan,Zhangjiakou (Kalgan),114.88,40.81,張家口
cak42-peking-paotow,3,datong,Datong (Tatung),113.3,40.09,大同
cak42-peking-paotow,4,hohhot,Hohhot (Houho),111.75,40.84,厚和
cak42-peking-paotow,5,baotou,Baotou (Paotow),109.84,40.66,包頭
cak42-peking-tsingtao-shanghai,1,beijing,Beijing (Peking),116.4,39.9,北京
cak42-peking-tsingtao-shanghai,2,tianjin,Tianjin (Tientsin),117.2,39.13,天津
cak42-peking-tsingtao-shanghai,3,qingdao,Qingdao (Tsingtao),120.38,36.07,青島
cak42-peking-tsingtao-shanghai,4,shanghai,Shanghai,121.47,31.23,上海
cak42-shanghai-taihoku-canton,1,shanghai,Shanghai,121.47,31.23,上海
cak42-shanghai-taihoku-canton,2,taipei,Taihoku (Taipei),121.57,25.03,臺北
cak42-shanghai-taihoku-canton,3,guangzhou,Guangzhou (Canton),113.26,23.13,廣東
cak42-peking-yuncheng,1,beijing,Beijing (Peking),116.4,39.9,北京
cak42-peking-yuncheng,2,shijiazhuang,Shijiazhuang (Shihmen),114.51,38.04,石門
cak42-peking-yuncheng,3,taiyuan,Taiyuan,112.55,37.87,太原
cak42-peking-yuncheng,4,linfen,Linfen,111.52,36.09,臨汾
cak42-peking-yuncheng,5,,Yuncheng (Yüncheng),111.0,35.03,運城
cak42-peking-kaifeng,1,beijing,Beijing (Peking),116.4,39.9,北京
cak42-peking-kaifeng,2,shijiazhuang,Shijiazhuang (Shihmen),114.51,38.04,石門
cak42-peking-kaifeng,3,anyang,Anyang (Changte),114.39,36.1,彰德
cak42-peking-kaifeng,4,,Xinxiang (Hsinhsiang),113.93,35.3,新鄉
cak42-peking-kaifeng,5,kaifeng,Kaifeng,114.31,34.8,開封
cak42-nanking-hankow,1,nanjing,Nanjing (Nanking),118.8,32.06,南京
cak42-nanking-hankow,2,anqing,Anqing (Anking),117.05,30.51,安慶
cak42-nanking-hankow,3,jiujiang,Jiujiang (Kiukiang),116.0,29.71,九江
cak42-nanking-hankow,4,wuhan,Wuhan (Hankow),114.28,30.58,漢口
cak42-shanghai-hankow,1,shanghai,Shanghai,121.47,31.23,上海
cak42-shanghai-hankow,2,nanjing,Nanjing (Nanking),118.8,32.06,南京
cak42-shanghai-hankow,3,wuhan,Wuhan (Hankow),114.28,30.58,漢口
cak42-canton-hoihow,1,guangzhou,Guangzhou (Canton),113.26,23.13,廣東
cak42-canton-hoihow,2,haikou,Haikou (Hoihow),110.34,20.04,海口
cak42-canton-swatow,1,guangzhou,Guangzhou (Canton),113.26,23.13,廣東
cak42-canton-swatow,2,shantou,Shantou (Swatow),116.68,23.35,汕頭
