id,name_en,name_local,lat,lon,polity,on_map,size_tier,always,capital_variant,capital_of,pop_c1920,pop_c1930,pop_c1940,pop_c1950,pop_ref,pop_ref_year,pop_basis,pop_quality,pop_sources,rationale
palembang,Palembang,,-2.99,104.76,Netherlands East Indies,on map (browse layer),medium,,capital-province,Palembang,,108000,,200000,108000,1930,contemporary (1930),census (rounded),id_volkstelling,
mysorecity,Mysore,,12.3,76.64,Princely states,on map (browse layer),medium,,capital-province,Mysore,,107000,150000,244000,107000,1931,contemporary (1931),estimate,in_census,
sasebo,Sasebo,,33.18,129.72,Japan,on map (browse layer),medium,,,,,133174,206000,250000,133174,1930,contemporary (1930),census,jp_census1930_p16;jp_census,
kochi,Kōchi,高知 (Kōchi),33.56,133.53,Japan,proposed,small,,capital-province,Kōchi Prefecture,,,106000,127000,106000,1940,inferred from 1940,census (rounded),jp_census,
phnompenh,Phnom Penh,,11.56,104.92,French Indochina,on map (browse layer),medium,,capital-territory,Cambodia,,103000,,354000,103000,1936,contemporary (1936),estimate,fr_annuaire;statesmans,
kofu,Kōfu,甲府 (Kōfu),35.66,138.57,Japan,proposed,small,,capital-province,Yamanashi Prefecture,,,102000,110000,102000,1940,inferred from 1940,census (rounded),jp_census,
anqing,Ānqìng (Anking),,30.51,117.05,Republic of China,on map (browse layer),medium,,capital-province,Anhwei,,,100000,110000,100000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
nanning,Nánníng (Nanning),,22.82,108.32,Republic of China,on map (browse layer),medium,,capital-province,Kwangsi,,,100000,195000,100000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
maizuru,Maizuru,,35.45,135.33,Japan,on map (browse layer),small,,,,,,100000,92000,100000,1940,inferred from 1940,estimate,jp_census,
datong,Dàtóng (Tatung),,40.09,113.3,Republic of China,on map (browse layer),medium,,,,,,100000,228000,100000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
moji,Moji,門司 (Moji),33.94,130.96,Japan,proposed,medium,,,,,108130,139000,127000,108130,1930,contemporary (1930),census,jp_census1930_p16;jp_census,The Kanmon Strait coaling and transhipment port; the embarkation point for the continent.
kawasaki,Kawasaki,川崎 (Kawasaki),35.53,139.7,Japan,proposed,medium,,,,,104351,301000,319000,104351,1930,contemporary (1930),census,jp_census1930_p16;jp_census,"Keihin industrial belt, c.300,000 by 1940, heavily firebombed."
aomori,Aomori,,40.82,140.75,Japan,on map (browse layer),small,,capital-province,Aomori Prefecture,,,99000,108000,99000,1940,inferred from 1940,census (rounded),jp_census,
shimonoseki,Shimonoseki,,33.96,130.94,Japan,on map (quiz site),small,,,,,98000,196000,194000,98000,1930,contemporary (1930),census (rounded),jp_census,
fukui,Fukui,福井 (Fukui),36.06,136.22,Japan,proposed,small,,capital-province,Fukui Prefecture,,,98000,101000,98000,1940,inferred from 1940,census (rounded),jp_census,
keelung,"Kīrun (Jilong, Keelung)",,25.13,121.74,Formosa,on map (browse layer),medium,,,,,78214,96000,105000,78214,1930,contemporary (1930),register,tw_stats1930_t37;tw_51yr,
davao,Davao,,7.07,125.61,Philippine Islands (US),on map (browse layer),medium,,capital-province,Davao,,,96000,111000,96000,1939,inferred from 1939,census (rounded),ph_census,
trivandrum,Trivandrum (Thiruvananthapuram),,8.52,76.94,Princely states,on map (browse layer),medium,,capital-province,Travancore,,96000,128000,186000,96000,1931,contemporary (1931),estimate,in_census,
chiba,Chiba,千葉 (Chiba),35.61,140.12,Japan,proposed,small,,capital-province,Chiba Prefecture,,,92000,134000,92000,1940,inferred from 1940,census (rounded),jp_census,
jodhpur,Jodhpur,जोधपुर,26.24,73.02,Princely states,proposed,medium,,capital-province,Jodhpur,,92000,126000,181000,92000,1931,contemporary (1931),estimate,in_census,Princely state capital.
yokosuka,Yokosuka,,35.28,139.67,Japan,on map (browse layer),medium,,,,,110301,193000,251000,110301,1930,contemporary (1930),census,jp_census1930_p16;jp_census,
yingkou,Yíngkǒu (Newchwang),,40.67,122.24,Republic of China,on map (browse layer),medium,,,,,90000,110000,131000,90000,1930,contemporary (1930),estimate,mk_yearbook;cn_census1953,
dandong,Antung (Dandong),,40.13,124.39,Republic of China,on map (browse layer),medium,,,,,90000,172000,361000,90000,1930,contemporary (1930),census (rounded),mk_census1940;cn_census1953,
urumqi,Wūlǔmùqí (Urumchi),,43.83,87.62,Sinkiang,on map (browse layer),medium,,capital-territory,Sinkiang,,,90000,141000,90000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
iloilo,Iloilo,,10.72,122.56,Philippine Islands (US),on map (browse layer),medium,,capital-province,Iloilo,,,90000,111000,90000,1939,inferred from 1939,census (rounded),ph_census,
jiujiang,Jiǔjiāng (Kiukiang),,29.71,116.0,Republic of China,on map (browse layer),medium,,,,,,90000,100000,90000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
yichang,Yíchāng (Ichang),,30.69,111.29,Republic of China,on map (browse layer),medium,,,,,,90000,100000,90000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
wuzhou,Wúzhōu (Wuchow),,23.48,111.28,Republic of China,on map (browse layer),medium,,,,,,90000,110000,90000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
kokura,Kokura,小倉 (Kokura),33.88,130.88,Japan,proposed,small,,,,,90000,174000,187000,90000,1930,contemporary (1930),census (rounded),jp_census,"Primary target for the second atomic bomb, 9 Aug 1945; cloud cover diverted the mission to Nagasaki. Arsenal city."
sakai,Sakai,堺 (Sakai),34.57,135.48,Japan,proposed,medium,,,,,120348,182000,239000,120348,1930,contemporary (1930),census,jp_census1930_p16;jp_census,Historic port and Osaka industrial suburb.
changde,Chángdé (Changteh),常德 (Jōtoku),29.03,111.7,Republic of China,proposed,medium,,,,,,90000,100000,90000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,"The battle of November–December 1943, and one of the confirmed targets of Unit 731’s plague attacks in 1941."
liuzhou,Liǔzhōu (Liuchow),柳州 (Ryūshū),24.31,109.42,Republic of China,proposed,medium,,,,,,90000,110000,90000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,"A principal Fourteenth Air Force base, and with Kweilin the objective of the Ichi-gō offensive of 1944."
taichung,"Taichū (Taizhong, Taichung)",,24.15,120.67,Formosa,on map (browse layer),medium,,capital-province,Taichū Prefecture,,55347,89000,139000,55347,1930,contemporary (1930),register,tw_stats1930_t37;tw_51yr,
malang,Malang,,-7.98,112.63,Netherlands East Indies,on map (browse layer),medium,,,,,87000,,150000,87000,1930,contemporary (1930),census (rounded),id_volkstelling,
utsunomiya,Utsunomiya,宇都宮 (Utsunomiya),36.56,139.88,Japan,proposed,small,,capital-province,Tochigi Prefecture,,,87000,127000,87000,1940,inferred from 1940,estimate,jp_census,
maebashi,Maebashi,前橋 (Maebashi),36.39,139.06,Japan,proposed,small,,capital-province,Gunma Prefecture,,,87000,107000,87000,1940,inferred from 1940,estimate,jp_census,
makassar,Makassar,,-5.15,119.43,Netherlands East Indies,on map (browse layer),medium,,capital-province,Celebes,,84000,,150000,84000,1930,contemporary (1930),census (rounded),id_volkstelling,
jamshedpur,Jamshedpur,जमशेदपुर,22.8,86.18,British India,proposed,medium,,,,,84000,150000,218000,84000,1931,contemporary (1931),estimate,in_census,Tata Iron and Steel: the industrial base of the Indian war effort and the largest steelworks in the British Empire.
morioka,Morioka,盛岡 (Morioka),39.7,141.15,Japan,proposed,small,,capital-province,Iwate Prefecture,,,82000,105000,82000,1940,inferred from 1940,estimate,jp_census,
baotou,Bāotóu (Paotow),,40.66,109.84,Republic of China,on map (browse layer),medium,,,,,,80000,149000,80000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
shaoguan,Sháoguān (Shiuchow),,24.81,113.6,Republic of China,on map (browse layer),medium,,,,,,80000,100000,80000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
wonsan,Genzan (Wŏnsan),,39.15,127.44,Chōsen,on map (browse layer),medium,small,,,,,79000,,79000,1940,inferred from 1940,estimate,kr_census,
oita,Ōita,大分 (Ōita),33.24,131.61,Japan,proposed,small,,capital-province,Ōita Prefecture,,,77000,96000,77000,1940,inferred from 1940,estimate,jp_census,
hamhung,Kankō (Hamhŭng),,39.92,127.54,Chōsen,on map (browse layer),medium,small,capital-province,South Hamgyŏng,,,76000,,76000,1940,inferred from 1940,estimate,kr_census,
medan,Medan,,3.59,98.67,Netherlands East Indies,on map (browse layer),medium,,capital-province,East Sumatra,,76000,,150000,76000,1930,contemporary (1930),census (rounded),id_volkstelling,
nagano,Nagano,長野 (Nagano),36.65,138.18,Japan,proposed,small,,capital-province,Nagano Prefecture,,,76000,97000,76000,1940,inferred from 1940,estimate,jp_census,
qiqihar,Qíqíhā’ěr (Tsitsihar),,47.35,123.92,Republic of China,on map (browse layer),medium,,capital-province,Heilungkiang,,75000,106000,345000,75000,1930,contemporary (1930),census (rounded),mk_census1940;cn_census1953,
chiayi,"Kagi (Jiayi, Chiayi)",,23.48,120.45,Formosa,on map (browse layer),small,,,,,58276,74000,123000,58276,1930,contemporary (1930),register,tw_stats1930_t37;tw_51yr,
kaesong,Kaijō (Kaesŏng),,37.97,126.55,Chōsen,on map (browse layer),small,small,,,,,72000,,72000,1940,inferred from 1940,estimate,kr_census,
ussuriysk,Voroshilov (Ussuriysk/Nikolsk),Ворошилов,43.8,131.95,USSR,proposed,small,,,,,,72000,104000,72000,1939,inferred from 1939,census (rounded),ussr_census,The rail junction behind Vladivostok and the Soviet Far Eastern army’s main base.
hefei,Héféi (Hofei),,31.86,117.28,Republic of China,on map (browse layer),small,,,,,,70000,184000,70000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
haiphong,Haiphong,,20.86,106.68,French Indochina,on map (browse layer),small,,,,,70000,100000,,70000,1936,contemporary (1936),estimate,fr_annuaire,
ulanbator,Ulan Bator (Urga),,47.89,106.91,Mongolia,on map (browse layer),small,,capital-territory,Mongolian People’s Republic,,,70000,118000,70000,1944,inferred from 1944,estimate,statesmans,
chittagong,Chittagong,,22.36,91.78,British India,on map (browse layer),small,,,,,70000,92000,294000,70000,1931,contemporary (1931),estimate,in_census,
amagasaki,Amagasaki,尼崎 (Amagasaki),34.73,135.41,Japan,proposed,small,,,,,70000,181000,279000,70000,1930,contemporary (1930),census (rounded),jp_census,Hanshin industrial belt.
akita,Akita,秋田 (Akita),39.72,140.1,Japan,proposed,small,,capital-province,Akita Prefecture,,,69000,92000,69000,1940,inferred from 1940,estimate,jp_census,
nampo,Chinnanpo (Chinnamp’o),,38.74,125.41,Chōsen,on map (browse layer),small,small,,,,,68000,,68000,1940,inferred from 1940,estimate,kr_census,
tsu,Tsu,津 (Tsu),34.72,136.51,Japan,proposed,small,,capital-province,Mie Prefecture,,,68000,76000,68000,1940,inferred from 1940,estimate,jp_census,
miyazaki,Miyazaki,宮崎 (Miyazaki),31.91,131.42,Japan,proposed,small,,capital-province,Miyazaki Prefecture,,,68000,85000,68000,1940,inferred from 1940,estimate,jp_census,
yamagata,Yamagata,山形 (Yamagata),38.24,140.36,Japan,proposed,small,,capital-province,Yamagata Prefecture,,,68000,92000,68000,1940,inferred from 1940,estimate,jp_census,
naha,Naha (Okinawa),,26.21,127.68,Japan,on map (quiz site),small,,capital-province,Okinawa Prefecture,,66000,65000,90000,66000,1930,contemporary (1930),estimate,jp_census,
hsinchu,"Shinchiku (Xinzhu, Hsinchu)",,24.81,120.97,Formosa,on map (browse layer),small,,capital-province,Shinchiku Prefecture,,45867,66000,97000,45867,1930,contemporary (1930),register,tw_stats1930_t37;tw_51yr,
bandjermasin,Bandjermasin (Banjarmasin),,-3.32,114.59,Netherlands East Indies,on map (browse layer),small,,capital-province,South & East Borneo,,66000,,,66000,1930,contemporary (1930),census (rounded),id_volkstelling,
mito,Mito,水戸 (Mito),36.37,140.47,Japan,proposed,small,,capital-province,Ibaraki Prefecture,,,66000,75000,66000,1940,inferred from 1940,estimate,jp_census,
kwangju,Kōshū (Kwangju),,35.16,126.85,Chōsen,on map (browse layer),small,,capital-province,South Chŏlla,,,65000,139000,65000,1940,inferred from 1940,census (rounded),kr_census;kr_kosis,
moulmein,Moulmein,,16.49,97.63,British India,on map (browse layer),small,,capital-province,Tenasserim Division,,65000,,102000,65000,1931,contemporary (1931),estimate,bur_census,
buitenzorg,Buitenzorg (Bogor),,-6.6,106.8,Netherlands East Indies,on map (browse layer),small,,,,,65000,,,65000,1930,contemporary (1930),census (rounded),id_volkstelling,
cuttack,Cuttack,କଟକ,20.46,85.88,British India,proposed,small,,,,,65000,76000,102000,65000,1931,contemporary (1931),estimate,in_census,Provincial capital.
mokpo,Moppo (Mokp’o),,34.79,126.39,Chōsen,on map (browse layer),small,small,,,,,64000,,64000,1940,inferred from 1940,estimate,kr_census,
chita,Chita,Чита,52.03,113.5,USSR,proposed,small,,,,62000,,121000,172000,62000,1926,contemporary (1926),census (rounded),ussr_census,"Headquarters of the Trans-Baikal Front, and the capital of the Far Eastern Republic 1920–22."
blagoveshchensk,Blagoveshchensk,Благовещенск,50.28,127.54,USSR,proposed,small,,,,61000,,59000,94000,61000,1926,contemporary (1926),census (rounded),ussr_census,Faces Heihe across the Amur.
portarthur,"Lǚshùn (Port Arthur, Ryojun)",,38.82,121.22,Kwantung Leased Territory,on map (quiz site),small,,capital-territory,Kwantung Leased Territory,,60000,100000,,60000,1930,contemporary (1930),estimate,mk_yearbook,
weihai,Wēihǎi (Weihaiwei),,37.51,122.12,Republic of China,on map (quiz site),small,,,,,,60000,70000,60000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
jinzhou,Jǐnzhōu (Chinchow),,41.1,121.13,Republic of China,on map (browse layer),small,,,,,60000,110000,353000,60000,1930,contemporary (1930),estimate,mk_yearbook;cn_census1953,
kashgar,Kāshí (Kashgar),,39.47,75.99,Sinkiang,on map (browse layer),small,,,,,,60000,90000,60000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
quetta,Quetta,,30.18,66.99,British India,on map (browse layer),small,,capital-province,Baluchistan,,60000,65000,84000,60000,1931,contemporary (1931),estimate,in_census,
asahikawa,Asahikawa,旭川 (Asahikawa),43.77,142.36,Japan,proposed,small,,,,,60000,88000,124000,60000,1930,contemporary (1930),estimate,jp_census,"Northern Hokkaidō garrison town, home of the 7th Division."
otsu,Ōtsu,大津 (Ōtsu),35.02,135.85,Japan,proposed,small,,capital-province,Shiga Prefecture,,,60000,76000,60000,1940,inferred from 1940,estimate,jp_census,
haeju,Kaishū (Haeju),해주 / 海州 (Kaishū),38.04,125.71,Chōsen,proposed,small,,capital-province,Hwanghae,,,60000,,60000,1940,inferred from 1940,estimate,kr_census,Provincial capital missing from the layer.
liaoyang,Liáoyáng,遼陽 (Ryōyō),41.27,123.17,Republic of China,proposed,small,,,,,60000,90000,150000,60000,1930,contemporary (1930),estimate,mk_yearbook;cn_census1953,
xiangyang,Xiāngyáng (Siangyang),襄陽 (Jōyō),32.01,112.12,Republic of China,proposed,small,,,,,,60000,80000,60000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
ganzhou,Gànzhōu (Kanchow),贛州 (Kanshū),25.83,114.93,Republic of China,proposed,small,,,,,,60000,80000,60000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,"Chiang Ching-kuo’s administration, 1939–45."
zhanjiang,Fort Bayard (Zhanjiang),廣州灣 / 湛江 (Kōshūwan),21.27,110.36,Kwangchowan,proposed,small,,capital-territory,Kwangchowan,,,60000,170000,60000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,"The capital of the French leased territory the map already draws, and the smuggling channel into free China until the Japanese took it in February 1943."
haikou,Haikou (Kiungchow),海口 (Kaikō),20.04,110.34,Republic of China,proposed,small,,capital-province,Hainan,,,60000,90000,60000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,Hainan was occupied in February 1939 and the map marks the landing; the island’s only real town is not on the layer.
quanzhou,Chüanchow (Quanzhou),泉州 (Sensh​ū),24.87,118.68,Republic of China,proposed,small,,,,,,60000,80000,60000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
bacolod,Bacolod,Bacolod,10.67,122.95,Philippine Islands (US),proposed,small,,capital-province,Negros Occidental,,,60000,100000,60000,1939,inferred from 1939,estimate,ph_census,
ise,Ise (Uji-Yamada),宇治山田 (Uji-Yamada),34.49,136.71,Japan,proposed,small,,,,,,59000,69000,59000,1940,inferred from 1940,estimate,jp_census,"The Ise Grand Shrine, the ritual centre of the state cult."
vizag,Vizagapatam (Visakhapatnam),,17.69,83.22,British India,on map (browse layer),small,,,,,58000,70000,108000,58000,1931,contemporary (1931),estimate,in_census,
nara,Nara,奈良 (Nara),34.69,135.81,Japan,proposed,small,,capital-province,Nara Prefecture,,,57000,65000,57000,1940,inferred from 1940,estimate,jp_census,The 8th-century capital; spared the bombing and central to the state’s account of its own antiquity.
matsue,Matsue,松江 (Matsue),35.47,133.05,Japan,proposed,small,,capital-province,Shimane Prefecture,,,55000,64000,55000,1940,inferred from 1940,estimate,jp_census,
bhopal,Bhopal,भोपाल,23.26,77.41,Princely states,proposed,small,,capital-province,Bhopal,,55000,76000,102000,55000,1931,contemporary (1931),estimate,in_census,Princely state capital.
cheribon,Cheribon (Cirebon),,-6.71,108.55,Netherlands East Indies,on map (browse layer),small,,,,,54000,,,54000,1930,contemporary (1930),census (rounded),id_volkstelling,
pingtung,"Heitō (Pingdong, Pingtung)",屏東 (Heitō),22.68,120.49,Formosa,proposed,small,,,,,,54000,,54000,1940,inferred from 1940,estimate,tw_51yr,"A 街 and the seat of Heitō-gun in 1930, raised to 屏東市 on 1 December 1933. Sugar refinery, and the army airfield beside it."
changhua,"Shōka (Zhanghua, Changhua)",彰化 (Shōka),24.08,120.54,Formosa,proposed,small,,,,,,54000,,54000,1940,inferred from 1940,estimate,tw_51yr,
ipoh,Ipoh,,4.6,101.09,Malaya,on map (browse layer),small,,capital-province,Perak,,53000,,81000,53000,1931,contemporary (1931),census (rounded),my_census1931;my_census1947,
khabarovsk,Khabarovsk,,48.48,135.08,USSR,on map (browse layer),small,,capital-province,Far Eastern Krai,52000,,207000,323000,52000,1926,contemporary (1926),census (rounded),ussr_census,
padang,Padang,,-0.95,100.35,Netherlands East Indies,on map (browse layer),small,,capital-province,West Sumatra,,52000,,,52000,1930,contemporary (1930),census (rounded),id_volkstelling,
saga,Saga,佐賀 (Saga),33.26,130.3,Japan,proposed,small,,capital-province,Saga Prefecture,,,51000,73000,51000,1940,inferred from 1940,estimate,jp_census,
fukushima,Fukushima,福島 (Fukushima),37.76,140.47,Japan,proposed,small,,capital-province,Fukushima Prefecture,,,51000,69000,51000,1940,inferred from 1940,estimate,jp_census,
chengde,Chéngdé (Chengteh),,40.98,117.94,Republic of China,on map (quiz site),small,,capital-province,Jehol,,50000,70000,93000,50000,1930,contemporary (1930),estimate,mk_yearbook;cn_census1953,
xining,Xīníng (Sining),,36.62,101.78,Republic of China,on map (browse layer),small,,capital-province,Tsinghai,,,50000,94000,50000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
yinchuan,Yínchuān (Ningsia),,38.49,106.23,Republic of China,on map (browse layer),small,,capital-province,Ningsia,,,50000,84000,50000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
anshan,Ānshān (Anshan),,41.11,122.99,Republic of China,on map (browse layer),small,,,,,50000,213000,549000,50000,1930,contemporary (1930),census (rounded),mk_census1940;cn_census1953,
zunyi,Zūnyì (Tsunyi),,27.73,106.93,Republic of China,on map (browse layer),small,,,,,,50000,70000,50000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
muroran,Muroran,室蘭 (Muroran),42.32,140.97,Japan,proposed,small,,,,,50000,111000,110000,50000,1930,contemporary (1930),census (rounded),jp_census,Steel and coal port; shelled by US battleships in July 1945.
kushiro,Kushiro,釧路 (Kushiro),42.98,144.38,Japan,proposed,small,,,,,50000,83000,94000,50000,1930,contemporary (1930),estimate,jp_census,Eastern Hokkaidō coal port.
ube,Ube,宇部 (Ube),33.95,131.25,Japan,proposed,small,,,,,50000,101000,123000,50000,1930,contemporary (1930),census (rounded),jp_census,Coal and chemicals; undersea pits worked by conscripted Korean labour.
anyang,Ānyáng (Changteh),安陽 (Anyō),36.1,114.39,Republic of China,proposed,small,,,,,,50000,90000,50000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
chonju,Zenshū (Chŏnju),전주 / 全州 (Zenshū),35.82,127.15,Chōsen,proposed,small,,capital-province,North Chŏlla,,,47000,101000,47000,1940,inferred from 1940,estimate,kr_census;kr_kosis,Provincial capital missing from the layer.
taejon,Taiden (Taejŏn),,36.35,127.38,Chōsen,on map (browse layer),small,,,,,,45000,127000,45000,1940,inferred from 1940,census (rounded),kr_census;kr_kosis,
pontianak,Pontianak,,-0.02,109.34,Netherlands East Indies,on map (browse layer),small,,capital-province,West Borneo,,45000,,,45000,1930,contemporary (1930),census (rounded),id_volkstelling,
urawa,Urawa,浦和 (Urawa),35.86,139.65,Japan,proposed,small,,capital-province,Saitama Prefecture,,,45000,71000,45000,1940,inferred from 1940,estimate,jp_census,
tottori,Tottori,鳥取 (Tottori),35.5,134.24,Japan,proposed,small,,capital-province,Tottori Prefecture,,,44000,55000,44000,1940,inferred from 1940,estimate,jp_census,
pondicherrycity,Pondicherry,புதுச்சேரி,11.93,79.83,French India,proposed,small,,capital-territory,French India,,43000,,58000,43000,1931,contemporary (1931),estimate,statesmans,"Capital of French India, which declared for the Free French in September 1940."
kandy,Kandy,මහනුවර,7.29,80.64,Ceylon,proposed,small,,,,,41000,,52000,41000,1931,contemporary (1931),estimate,lk_census,South East Asia Command’s headquarters from April 1944 — Mountbatten’s seat and the place the Southeast Asian war was directed from.
sinuiju,Shingishū (Sinŭiju),,40.1,124.39,Chōsen,on map (browse layer),small,small,capital-province,North P’yŏngan,,40000,61000,,40000,1930,contemporary (1930),estimate,kr_census,
yueyang,Yuèyáng (Yochow),,29.36,113.13,Republic of China,on map (browse layer),small,,,,,,40000,50000,40000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
baoji,Bǎojī (Paoki),,34.36,107.14,Republic of China,on map (browse layer),small,,,,,,40000,90000,40000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
tianshui,Tiānshuǐ (Tienshui),,34.58,105.72,Republic of China,on map (browse layer),small,,,,,,40000,60000,40000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
kunsan,Gunzan (Kunsan),군산 / 群山 (Gunzan),35.98,126.72,Chōsen,proposed,small,small,,,,,40000,,40000,1940,inferred from 1940,estimate,kr_census,"The rice port: the outlet through which the Chŏlla harvest left for Japan, and a heavily Japanese town."
benxi,Běnxī (Penhsihu),本溪湖 (Honkeiko),41.29,123.77,Republic of China,proposed,small,,,,,40000,120000,449000,40000,1930,contemporary (1930),estimate,mk_yearbook;cn_census1953,"Iron and coal; the Penhsihu colliery explosion of 1942 killed over 1,500 miners, the worst in history."
shijiazhuang,Shíjiāzhuāng (Shihkiachwang),石家莊 (Sekkasō),38.04,114.51,Republic of China,proposed,small,,,,,40000,130000,373000,40000,1930,contemporary (1930),estimate,cn_statistical;cn_census1953,"The junction of the Peking–Hankow and Chengtai railways, and for that reason the hinge of every north China campaign, the base of the Hundred Regiments Offensive fighting, and a major Japanese garrison."
handan,Hándān,邯鄲 (Kantan),36.63,114.54,Republic of China,proposed,small,,,,,,40000,90000,40000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
linfen,Línfén,臨汾 (Rinpun),36.09,111.52,Republic of China,proposed,small,,,,,,40000,60000,40000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
tongzhou,Tungchow (Tongzhou),通州 (Tsūshū),39.91,116.66,Republic of China,proposed,small,,,,,,40000,60000,40000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,"The Tungchow Mutiny of 29 July 1937, in which the East Hopei puppet garrison turned on the Japanese and killed most of the Japanese and Korean residents; used afterwards to justify escalation."
quzhou,Qúzhōu (Chuchow),衢州 (Kushū),28.94,118.87,Republic of China,proposed,small,,,,,,40000,60000,40000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,"A Doolittle raid recovery airfield, and the reason for the Chekiang–Kiangsi campaign of 1942 and the biological attacks that accompanied it."
beihai,Pakhoi (Beihai),北海 (Hokkai),21.48,109.12,Republic of China,proposed,small,,,,,,40000,50000,40000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
chifeng,Chifeng (Ulanhad),赤峰 (Sekihō),42.26,118.89,Republic of China,proposed,small,,,,,,40000,80000,40000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
namdinh,Nam Dinh,南定 (Nam Định),20.42,106.17,French Indochina,proposed,small,,,,,40000,,,40000,1936,contemporary (1936),estimate,fr_annuaire,"Textile mills, the largest industrial workforce in Tonkin."
bassein,Bassein (Pathein),ပုသိမ်,16.78,94.73,British India,proposed,small,,capital-province,Irrawaddy Division,,40000,,78000,40000,1931,contemporary (1931),estimate,bur_census,
malacca,Malacca,,2.19,102.25,Straits Settlements,on map (browse layer),small,,,,,38000,,55000,38000,1931,contemporary (1931),estimate,my_census1931;my_census1947,
akyab,Akyab (Sittwe),,20.15,92.9,British India,on map (browse layer),small,,capital-province,Arakan Division,,38000,,42000,38000,1931,contemporary (1931),estimate,bur_census,
masan,Masan,마산 / 馬山 (Masan),35.2,128.57,Chōsen,proposed,small,small,,,,,36000,,36000,1940,inferred from 1940,estimate,kr_census,
esutoru,Esutoru (Uglegorsk),恵須取 (Esutoru),49.08,142.07,Karafuto,proposed,small,,,,,,35000,,35000,1941,inferred from 1941,estimate,jp_teikoku;ndl_digital,"Pulp and coal town, the largest settlement of northern Karafuto."
yilan,Giran (Yilan),宜蘭 (Giran),24.76,121.75,Formosa,proposed,small,,,,,,35000,,35000,1940,inferred from 1940,estimate,tw_51yr,
petropavlovsk,Petropavlovsk-Kamchatsky,Петропавловск-Камчатский,53.02,158.65,USSR,proposed,small,,,,,,35000,86000,35000,1939,inferred from 1939,census (rounded),ussr_census,The staging point for the Soviet seizure of the Kuriles in August 1945.
yamaguchi,Yamaguchi,山口 (Yamaguchi),34.19,131.47,Japan,proposed,small,,capital-province,Yamaguchi Prefecture,,,32000,48000,32000,1940,inferred from 1940,estimate,jp_census,
hue,Hue,,16.46,107.6,French Indochina,on map (browse layer),small,,capital-territory,Annam,,30000,,,30000,1936,contemporary (1936),estimate,fr_annuaire,
chiangmai,Chiang Mai,,18.79,98.98,Siam,on map (browse layer),small,,capital-province,Chiang Mai,,,30000,40000,30000,1937,inferred from 1937,estimate,th_census,
kuching,Kuching,,1.55,110.34,Sarawak,on map (browse layer),small,,capital-territory,Sarawak,,30000,,35000,30000,1931,contemporary (1931),estimate,uk_colonial,
balikpapan,Balikpapan,,-1.24,116.85,Netherlands East Indies,on map (browse layer),small,,,,,30000,,,30000,1930,contemporary (1930),estimate,id_volkstelling,
shanhaiguan,Shānhǎiguān (Shanhaikuan),,40.01,119.75,Republic of China,on map (browse layer),small,,,,,,30000,50000,30000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
dali,Dàlǐ (Tali),,25.61,100.27,Republic of China,on map (browse layer),small,,,,,,30000,40000,30000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
yining,Yīníng (Ining),,43.91,81.32,Sinkiang,on map (browse layer),small,,,,,,30000,50000,30000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
cochin,Cochin (Kochi),,9.93,76.27,Princely states,on map (browse layer),small,,capital-province,Cochin,,30000,40000,46000,30000,1931,contemporary (1931),estimate,in_census,
hitachi,Hitachi,日立 (Hitachi),36.6,140.65,Japan,proposed,small,,,,,30000,82000,130000,30000,1930,contemporary (1930),estimate,jp_census,Heavy electrical works; shelled from the sea in July 1945.
