id,en,ja,zh,lat,lon,wiki
dalat,Dalat,,,11.94,108.44,https://en.wikipedia.org/wiki/Dalat_Palace_Hotel
denpasar,Denpasar (Bali),,,-8.65,115.22,https://en.wikipedia.org/wiki/Denpasar
digboi,Digboi,,,27.39,95.62,https://en.wikipedia.org/wiki/Digboi
duolun,Dolonnor (Duolun),,,42.19,116.47,https://en.wikipedia.org/wiki/Dolon_Nor
dublon,"Dublon (Tonoas), Truk",,,7.36,151.87,https://en.wikipedia.org/wiki/Tonowas
esutoru,Esutoru (Uglegorsk),,,49.08,142.07,"https://en.wikipedia.org/wiki/Uglegorsk,_Sakhalin_Oblast"
etajima,Etajima,,,34.23,132.46,https://en.wikipedia.org/wiki/Etajima
zhanjiang,Fort Bayard (Zhanjiang),,,21.27,110.36,https://en.wikipedia.org/wiki/Zhanjiang
fukushima,Fukushima,,,37.76,140.47,https://en.wikipedia.org/wiki/Fukushima_(city)
chichijima,Futami (Chichijima),,,27.09,142.19,https://en.wikipedia.org/wiki/Chichijima_Airfield
fuxin,Fùxīn (Fuhsin),,,42.02,121.67,https://en.wikipedia.org/wiki/Fuxin
gangtok,Gangtok,,,27.33,88.61,https://en.wikipedia.org/wiki/Gangtok
garapan,Garapan (Saipan),,,15.21,145.72,"https://en.wikipedia.org/wiki/Garapan,_Saipan"
gyantse,Gyantse,,,28.95,89.6,https://en.wikipedia.org/wiki/Gyantse
ganzhou,Gànzhōu (Kanchow),,,25.83,114.93,https://en.wikipedia.org/wiki/Ganzhou
haeju,Kaishū (Haeju),,,38.04,125.71,https://en.wikipedia.org/wiki/Haeju
haikou,Haikou (Kiungchow),,,20.04,110.34,https://en.wikipedia.org/wiki/Haikou
hailar,Hailar,,,49.2,119.7,https://en.wikipedia.org/wiki/Hailar_District
hami,Hami (Kumul),,,42.83,93.51,https://en.wikipedia.org/wiki/Hami
heihe,Heihe (Sakhalyan/Aigun),,,50.25,127.53,https://en.wikipedia.org/wiki/Heihe
hitachi,Hitachi,,,36.6,140.65,"https://en.wikipedia.org/wiki/Hitachi,_Ibaraki"
hollandia,Hollandia (Jayapura),,,-2.53,140.72,https://en.wikipedia.org/wiki/Battle_of_Hollandia
handan,Hándān,,,36.63,114.54,https://en.wikipedia.org/wiki/Handan
hungnam,Kōnan (Hŭngnam),,,39.83,127.62,https://en.wikipedia.org/wiki/Hungnam
ise,Ise (Uji-Yamada),,,34.49,136.71,https://en.wikipedia.org/wiki/Ise_Province
jaluit,Jaluit,,,5.92,169.64,
jambi,Jambi,,,-1.61,103.61,
jolo,Jolo,,,6.05,121.0,
kanchanaburi,Kanchanaburi,,,14.02,99.53,https://en.wikipedia.org/wiki/Kanchanaburi
kandy,Kandy,,,7.29,80.64,https://en.wikipedia.org/wiki/Kandy
kangar,Kangar,,,6.44,100.2,https://en.wikipedia.org/wiki/Kangar
kavieng,Kavieng,,,-2.58,150.8,https://en.wikipedia.org/wiki/Kavieng
kendari,Kendari,,,-3.97,122.51,https://en.wikipedia.org/wiki/Kendari
kengtung,Kengtung,,,21.3,99.6,https://en.wikipedia.org/wiki/Kengtung
khotan,Khotan (Hotan),,,37.11,79.93,https://en.wikipedia.org/wiki/Hotan
kolonia,Kolonia (Ponape),,,6.96,158.21,https://en.wikipedia.org/wiki/Kolonia
kongju,Kōshū (Kongju),,,36.45,127.12,https://en.wikipedia.org/wiki/Gongju
kotabharu_c,Kota Bharu,,,6.13,102.24,https://en.wikipedia.org/wiki/Kota_Bharu
kualalipis,Kuala Lipis,,,4.18,102.05,https://en.wikipedia.org/wiki/Kuala_Lipis
kualaterengganu,Kuala Terengganu,,,5.33,103.14,https://en.wikipedia.org/wiki/Kuala_Terengganu
kuantan,Kuantan,,,3.81,103.33,https://en.wikipedia.org/wiki/Kuantan
kunsan,Gunzan (Kunsan),,,35.98,126.72,https://en.wikipedia.org/wiki/Gunsan
kushiro,Kushiro,,,42.98,144.38,https://en.wikipedia.org/wiki/Kushiro
bandaaceh,Kutaraja (Banda Aceh),,,5.55,95.32,https://en.wikipedia.org/wiki/Banda_Aceh
kyzyl,Kyzyl,,,51.72,94.44,https://en.wikipedia.org/wiki/Kyzyl
labuan,Labuan,,,5.28,115.25,https://en.wikipedia.org/wiki/Labuan
lae,Lae,,,-6.73,146.99,https://en.wikipedia.org/wiki/Lae
langson,Lang Son,,,21.85,106.76,https://en.wikipedia.org/wiki/L%E1%BA%A1ng_S%C6%A1n_(city)
ledo,Ledo,,,27.3,95.74,https://en.wikipedia.org/wiki/Ledo_Airfield
legazpi,Legazpi,,,13.14,123.73,https://en.wikipedia.org/wiki/Legazpi_Cathedral
lingayen,Lingayen,,,16.02,120.23,https://en.wikipedia.org/wiki/Lingayen
liaoyang,Liáoyáng,,,41.27,123.17,https://en.wikipedia.org/wiki/Liaoyang
lorengau,Lorengau (Manus),,,-2.02,147.27,https://en.wikipedia.org/wiki/Lorengau
linfen,Línfén,,,36.09,111.52,https://en.wikipedia.org/wiki/Linfen
laohekou,Lǎohékǒu (Laohokow),,,32.39,111.67,https://en.wikipedia.org/wiki/Laohekou
manzhouli,Manchouli (Manzhouli),,,49.6,117.45,https://en.wikipedia.org/wiki/Manzhouli
maoka,Maoka (Kholmsk),,,47.06,142.05,https://en.wikipedia.org/wiki/Kholmsk
masan,Masan,,,35.2,128.57,https://en.wikipedia.org/wiki/Masan
matsue,Matsue,,,35.47,133.05,https://en.wikipedia.org/wiki/Matsue
meiktila,Meiktila,,,20.88,95.86,https://en.wikipedia.org/wiki/Meiktila
mergui,Mergui (Myeik),,,12.44,98.6,"https://en.wikipedia.org/wiki/Myeik,_Myanmar"
miri,Miri,,,4.4,113.99,https://en.wikipedia.org/wiki/Miri
mito,Mito,,,36.37,140.47,https://en.wikipedia.org/wiki/Mito_T%C5%8Dsh%C5%8D-g%C5%AB
miyazaki,Miyazaki,,,31.91,131.42,https://en.wikipedia.org/wiki/Miyazaki_(city)
morotai,Morotai (Daruba),,,2.05,128.32,https://en.wikipedia.org/wiki/Morotai_Island_Regency
bangka,Muntok (Bangka),,,-2.07,105.16,https://en.wikipedia.org/wiki/Muntok
muroran,Muroran,,,42.32,140.97,https://en.wikipedia.org/wiki/Muroran
korat,Nakhon Ratchasima (Korat),,,14.97,102.1,https://en.wikipedia.org/wiki/Nakhon_Ratchasima
namdinh,Nam Dinh,,,20.42,106.17,https://en.wikipedia.org/wiki/Nam_%C4%90%E1%BB%8Bnh
nara,Nara,,,34.69,135.81,https://en.wikipedia.org/wiki/Nara_(city)
noumea,Nouméa,,,-22.28,166.46,https://en.wikipedia.org/wiki/Noum%C3%A9a
panjim,Nova Goa (Panjim),,,15.5,73.83,https://en.wikipedia.org/wiki/Panaji
olongapo,Olongapo (Subic Bay),,,14.83,120.28,https://en.wikipedia.org/wiki/Olongapo
pattani,Pattani,,,6.87,101.25,https://en.wikipedia.org/wiki/Pattani_province
pegu,Pegu (Bago),,,17.34,96.48,"https://en.wikipedia.org/wiki/Bago,_Myanmar"
pekanbaru,Pekanbaru,,,0.51,101.45,https://en.wikipedia.org/wiki/Pekanbaru
petropavlovsk,Petropavlovsk-Kamchatsky,,,53.02,158.65,https://en.wikipedia.org/wiki/Petropavlovsk-Kamchatsky
phuket,Phuket,,,7.88,98.39,https://en.wikipedia.org/wiki/Phuket_province
pingfang,Pingfang,,,45.61,126.63,"https://en.wikipedia.org/wiki/Pingfang,_Harbin"
pingtung,Pingtung (Heitō),,,22.68,120.49,https://en.wikipedia.org/wiki/Pingtung_County_Council
pondicherrycity,Pondicherry,,,11.93,79.83,https://en.wikipedia.org/wiki/Pondicherry
portblair,Port Blair,,,11.62,92.73,https://en.wikipedia.org/wiki/Port_Blair
prachuap,Prachuap Khiri Khan,,,11.81,99.8,https://en.wikipedia.org/wiki/Prachuap_Khiri_Khan
prome,Prome (Pyay),,,18.82,95.22,https://en.wikipedia.org/wiki/Pyay
punakha,Punakha,,,27.59,89.88,https://en.wikipedia.org/wiki/Punakha
quzhou,Qúzhōu (Chuchow),,,28.94,118.87,https://en.wikipedia.org/wiki/Qu_County
saga,Saga,,,33.26,130.3,
sanya,Samah (Sanya),,,18.25,109.51,https://en.wikipedia.org/wiki/Sanya_River
samarinda,Samarinda,,,-0.5,117.15,https://en.wikipedia.org/wiki/Samarinda
sandakan,Sandakan,,,5.84,118.12,https://en.wikipedia.org/wiki/Sandakan
savannakhet,Savannakhet,,,16.56,104.75,https://en.wikipedia.org/wiki/Savannakhet
seremban,Seremban,,,2.73,101.94,https://en.wikipedia.org/wiki/Seremban
seria,Seria,,,4.61,114.33,https://en.wikipedia.org/wiki/Seria
shikuka,Shikuka (Poronaysk),,,49.22,143.1,https://en.wikipedia.org/wiki/Poronaysk
shillong,Shillong,,,25.58,91.89,https://en.wikipedia.org/wiki/Shillong
songkhla,Songkhla,,,7.2,100.6,https://en.wikipedia.org/wiki/Songkhla
suifenhe,Suifenho (Pogranichnaya),,,44.4,131.15,https://en.wikipedia.org/wiki/Suifenhe
suwon,Suigen (Suwŏn),,,37.26,127.01,https://en.wikipedia.org/wiki/Suwon
siping,Sìpíng (Ssupingkai),,,43.17,124.35,"https://en.wikipedia.org/wiki/Siping,_Jilin"
songjin,Jōshin (Sŏngjin),,,40.67,129.2,https://en.wikipedia.org/wiki/Kimchaek
tacloban,Tacloban,,,11.24,125.0,https://en.wikipedia.org/wiki/Tacloban
taiping,Taiping,,,4.85,100.74,https://en.wikipedia.org/wiki/Taiping_Island
taitung,Taitung (Taitō),,,22.76,121.14,https://en.wikipedia.org/wiki/Taitung_Performing_Art_Center
taunggyi,Taunggyi,,,20.79,97.04,https://en.wikipedia.org/wiki/Taunggyi
tavoy,Tavoy (Dawei),,,14.08,98.19,"https://en.wikipedia.org/wiki/Dawei,_Myanmar"
tawau,Tawau,,,4.25,117.89,https://en.wikipedia.org/wiki/Tawau
ternate,Ternate,,,0.79,127.38,https://en.wikipedia.org/wiki/Ternate
thanbyuzayat,Thanbyuzayat,,,15.97,97.73,https://en.wikipedia.org/wiki/Thanbyuzayat
cilacap,Tjilatjap (Cilacap),,,-7.73,109.01,https://en.wikipedia.org/wiki/Cilacap_Regency
tottori,Tottori,,,35.5,134.24,https://en.wikipedia.org/wiki/Tottori_City_Historical_Museum
toungoo,Toungoo,,,18.94,96.43,https://en.wikipedia.org/wiki/Taungoo
danang,Tourane (Da Nang),,,16.07,108.22,https://en.wikipedia.org/wiki/Da_Nang
townsville,Townsville,,,-19.26,146.82,https://en.wikipedia.org/wiki/Townsville
tsu,Tsu,,,34.72,136.51,https://en.wikipedia.org/wiki/Settsu_Province
tulagitown,Tulagi,,,-9.1,160.15,https://en.wikipedia.org/wiki/Tulagi
tongzhou,Tungchow (Tongzhou),,,39.91,116.66,"https://en.wikipedia.org/wiki/Xinhua_Subdistrict,_Beijing"
tonghua,Tōnghuà,,,41.73,125.94,https://en.wikipedia.org/wiki/Tonghua
ube,Ube,,,33.95,131.25,"https://en.wikipedia.org/wiki/Ube,_Yamaguchi"
urawa,Urawa,,,35.86,139.65,https://en.wikipedia.org/wiki/Urawa-shuku
victoriapoint,Victoria Point (Kawthaung),,,9.98,98.55,"https://en.wikipedia.org/wiki/Kawthaung,_Myanmar"
vigan,Vigan,,,17.57,120.39,https://en.wikipedia.org/wiki/Vigan
vinh,Vinh,,,18.68,105.68,https://en.wikipedia.org/wiki/Vinh
ussuriysk,Voroshilov (Ussuriysk/Nikolsk),,,43.8,131.95,https://en.wikipedia.org/wiki/Ussuriysk
wewak,Wewak,,,-3.55,143.63,https://en.wikipedia.org/wiki/Wewak
xiangyang,Xiāngyáng (Siangyang),,,32.01,112.12,https://en.wikipedia.org/wiki/Xiangyang
yamagata,Yamagata,,,38.24,140.36,
yamaguchi,Yamaguchi,,,34.19,131.47,https://en.wikipedia.org/wiki/Yamaguchi_(city)
nauru,Yaren (Nauru),,,-0.55,166.92,https://en.wikipedia.org/wiki/Yaren
yenangyaung,Yenangyaung,,,20.46,94.87,https://en.wikipedia.org/wiki/Yenangyaung
yilan,Yilan (Giran),,,24.76,121.75,https://en.wikipedia.org/wiki/Yilan_Distillery_Chia_Chi_Lan_Liquor_Museum
anyang,Ānyáng (Changteh),,,36.1,114.39,https://en.wikipedia.org/wiki/Anyang
enshi,Ēnshī (Enshih),,,30.3,109.49,https://en.wikipedia.org/wiki/Enshi_City
ominato,Ōminato,,,41.29,141.12,"https://en.wikipedia.org/wiki/Mutsu,_Aomori"
otomari,Ōtomari (Korsakov),,,46.63,142.78,"https://en.wikipedia.org/wiki/Korsakovsky_District,_Sakhalin_Oblast"
otsu,Ōtsu,,,35.02,135.85,https://en.wikipedia.org/wiki/%C5%8Ctsu
komsomolsk,Komsomolsk-on-Amur,,,50.55,137.01,https://en.wikipedia.org/wiki/Komsomolsk-on-Amur
quezoncity,Quezon City,,,14.68,121.04,
beihai,Pakhoi (Beihai),,,21.48,109.12,https://en.wikipedia.org/wiki/Beihai
