id,en,jpfrom,local,ko,ja,zh,lat,lon,wiki
omuta,Ōmuta,,,오무타,大牟田,大牟田,33.03,130.45,"https://en.wikipedia.org/wiki/%C5%8Cmuta,_Fukuoka"
akita,Akita,,,,秋田 (Akita),八橋球技場,39.72,140.1,https://en.wikipedia.org/wiki/Akita_(city)
aleksandrovsk,Aleksandrovsk-Sakhalinsky,,,알렉산드롭스크사할린스키,アレクサンドロフスク・サハリンスキー,薩哈林島亞歷山德羅夫斯克,50.9,142.16,https://en.wikipedia.org/wiki/Alexandrovsk-Sakhalinsky_(town)
alorsetar,Alor Setar,,,,,,6.12,100.37,https://en.wikipedia.org/wiki/Alor_Setar
amagasaki,Amagasaki,,,아마가사키,尼崎,尼崎,34.73,135.41,https://en.wikipedia.org/wiki/Amagasaki
angeles,Angeles (Clark Field),,,,,,15.15,120.59,https://en.wikipedia.org/wiki/Angeles_City
aparri,Aparri,,,,,,18.36,121.64,https://en.wikipedia.org/wiki/Aparri
apia,Apia,,,,,,-13.83,-171.77,https://en.wikipedia.org/wiki/Apia
asahikawa,Asahikawa,,,아사히카와,旭川,旭川,43.77,142.36,https://en.wikipedia.org/wiki/Asahikawa
ayutthaya,Ayutthaya,,,,,,14.35,100.58,https://en.wikipedia.org/wiki/Phra_Nakhon_Si_Ayutthaya_province
bacolod,Bacolod,,,,,,10.67,122.95,https://en.wikipedia.org/wiki/Bacolod
bassein,Bassein (Pathein),,,,,,16.78,94.73,https://en.wikipedia.org/wiki/Pathein
battambang,Battambang,,,,,,13.1,103.2,https://en.wikipedia.org/wiki/Battambang
bengkulu,Benkoelen (Bengkulu),,,,,,-3.79,102.26,https://en.wikipedia.org/wiki/Bengkulu
betio,Betio (Tarawa),,,,,,1.36,172.92,https://en.wikipedia.org/wiki/Betio
bhamo,Bhamo,,,,,,24.26,97.23,https://en.wikipedia.org/wiki/Bhamo
bhopal,Bhopal,,,,,,23.26,77.41,https://en.wikipedia.org/wiki/Bhopal
blagoveshchensk,Blagoveshchensk,,,,ブラゴヴェシチェンスク,海蘭泡,50.28,127.54,https://en.wikipedia.org/wiki/Blagoveshchensk
broome,Broome,,,,,,-17.96,122.24,"https://en.wikipedia.org/wiki/Anglican_Church_of_the_Annunciation,_Broome"
buin,Buin (Bougainville),,,,,,-6.74,155.72,"https://en.wikipedia.org/wiki/Buin,_Papua_New_Guinea"
benxi,Běnxī (Penhsihu),e1942,,번시,本渓,本溪,41.29,123.77,https://en.wikipedia.org/wiki/Benxi
cabanatuan,Cabanatuan,,,,,,15.49,120.97,https://en.wikipedia.org/wiki/Cabanatuan
cagayandeoro,Cagayan de Misamis,,,,,,8.48,124.65,https://en.wikipedia.org/wiki/Cagayan_de_Oro
camranh,Cam Ranh,,,,,,11.92,109.16,https://en.wikipedia.org/wiki/Cam_Ranh
canberra,Canberra,,,,,,-35.28,149.13,https://en.wikipedia.org/wiki/Canberra
capas,Capas (Camp O’Donnell),,,,,,15.33,120.59,https://en.wikipedia.org/wiki/Capas
changhua,"Shōka (Zhānghuà, Changhua)",,"Zhānghuà (Shōka, Changhua)",장화,彰化,彰化,24.08,120.54,https://en.wikipedia.org/wiki/Changhua
chifeng,Chifeng (Ulanhad),e1942,"Chìfēng (Ulanhad, Chifeng)",츠펑,赤峰,赤峰,42.26,118.89,https://en.wikipedia.org/wiki/Chifeng
chinju,Shinshū (Chinju),,Chinju (Shinshū),진주,晋州,,35.19,128.08,https://en.wikipedia.org/wiki/Jinju
chita,Chita,,,,,,52.03,113.5,https://en.wikipedia.org/wiki/Chita_Oblast
choibalsan,Choibalsan,,,,,,48.07,114.54,https://en.wikipedia.org/wiki/Choibalsan_Thermal_Power_Plant
quanzhou,Chüanchow (Quanzhou),,,취안저우,泉州,泉州,24.87,118.68,https://en.wikipedia.org/wiki/Quanzhou
chonju,Zenshū (Chŏnju),,Chŏnju (Zenshū),전주,全州,全州,35.82,127.15,https://en.wikipedia.org/wiki/Jeonju
chunchon,Shunsen (Ch’unch’ŏn),,Ch’unch’ŏn (Shunsen),춘천,春川,春川,37.88,127.73,https://en.wikipedia.org/wiki/Chuncheon
chongju,Seishū (Ch’ŏngju),,Ch’ŏngju (Seishū),청주,清州,清州,36.64,127.49,https://en.wikipedia.org/wiki/Cheongju
yapcolonia,Colonia (Yap),,,,,,9.51,138.13,"https://en.wikipedia.org/wiki/Colonia,_Federated_States_of_Micronesia"
cuttack,Cuttack,,,,,,20.46,85.88,https://en.wikipedia.org/wiki/Cuttack
dalat,Dalat,,,,,,11.94,108.44,https://en.wikipedia.org/wiki/Dalat_Palace_Hotel
denpasar,Denpasar (Bali),,,,,,-8.65,115.22,https://en.wikipedia.org/wiki/Denpasar
digboi,Digboi,,,,,,27.39,95.62,https://en.wikipedia.org/wiki/Digboi
duolun,Dolonnor (Duolun),e1942,Dolonnor (Duōlún),,,多倫諾爾鎮,42.19,116.47,https://en.wikipedia.org/wiki/Dolon_Nor
dublon,"Dublon (Tonoas), Truk",,,,,,7.36,151.87,https://en.wikipedia.org/wiki/Tonowas
esutoru,Esutoru (Uglegorsk),,,,恵須取,,49.08,142.07,"https://en.wikipedia.org/wiki/Uglegorsk,_Sakhalin_Oblast"
etajima,Etajima,,,에타지마섬,江田島,江田島,34.23,132.46,https://en.wikipedia.org/wiki/Etajima
zhanjiang,Fort Bayard (Zhanjiang),,,,,湛江,21.27,110.36,https://en.wikipedia.org/wiki/Zhanjiang
fukushima,Fukushima,,,후쿠시마,福島,福島,37.76,140.47,https://en.wikipedia.org/wiki/Fukushima_(city)
chichijima,Futami (Chichijima),,,,父島,,27.09,142.19,https://en.wikipedia.org/wiki/Chichijima
fuxin,Fùxīn (Fuhsin),e1942,,푸신,阜新,阜新,42.02,121.67,https://en.wikipedia.org/wiki/Fuxin
gangtok,Gangtok,,,,,,27.33,88.61,https://en.wikipedia.org/wiki/Gangtok
garapan,Garapan (Saipan),,,,,,15.21,145.72,"https://en.wikipedia.org/wiki/Garapan,_Saipan"
gyantse,Gyantse,,,,,,28.95,89.6,https://en.wikipedia.org/wiki/Gyantse
ganzhou,Gànzhōu (Kanchow),,,간저우,贛州,贛州,25.83,114.93,https://en.wikipedia.org/wiki/Ganzhou
haeju,Kaishū (Haeju),,Haeju (Kaishū),해주,海州,海州,38.04,125.71,https://en.wikipedia.org/wiki/Haeju
haikou,Haikou (Kiungchow),,"Hǎikǒu (Kiungchow, Haikou)",,,海口,20.04,110.34,https://en.wikipedia.org/wiki/Haikou
hailar,Hailar,e1942,Hailar (Hǎilā’ěr),하이라얼구,ハイラル区,海拉爾,49.2,119.7,https://en.wikipedia.org/wiki/Hailar_District
hami,Hami (Kumul),,,,,哈密,42.83,93.51,https://en.wikipedia.org/wiki/Hami
heihe,Heihe (Sakhalyan/Aigun),e1942,"Hēihé (Sakhalyan, Aigun, Heihe)",헤이허,黒河,黑河,50.25,127.53,https://en.wikipedia.org/wiki/Heihe
hitachi,Hitachi,,,히타치,日立,日立,36.6,140.65,"https://en.wikipedia.org/wiki/Hitachi,_Ibaraki"
hollandia,Hollandia (Jayapura),,,,,,-2.53,140.72,https://en.wikipedia.org/wiki/Jayapura
handan,Hándān,,,한단,邯鄲,邯鄲,36.63,114.54,https://en.wikipedia.org/wiki/Handan
hungnam,Kōnan (Hŭngnam),,Hŭngnam (Kōnan),흥남구역,興南区域,興南區域,39.83,127.62,https://en.wikipedia.org/wiki/Hungnam
ise,Ise (Uji-Yamada),,,이세국,宇治山田 (Uji-Yamada),伊勢國,34.49,136.71,"https://en.wikipedia.org/wiki/Ise,_Mie"
jaluit,Jaluit,,,,,,5.92,169.64,
jambi,Jambi,,,,,,-1.61,103.61,
jolo,Jolo,,,,,,6.05,121.0,
kanchanaburi,Kanchanaburi,,,,,,14.02,99.53,https://en.wikipedia.org/wiki/Kanchanaburi
kandy,Kandy,,,,,,7.29,80.64,https://en.wikipedia.org/wiki/Kandy
kangar,Kangar,,,,,,6.44,100.2,https://en.wikipedia.org/wiki/Kangar
kavieng,Kavieng,,,,,,-2.58,150.8,https://en.wikipedia.org/wiki/Kavieng
kendari,Kendari,,,,,,-3.97,122.51,https://en.wikipedia.org/wiki/Kendari
kengtung,Kengtung,,,,,,21.3,99.6,https://en.wikipedia.org/wiki/Kengtung
khotan,Khotan (Hotan),,,,,和闐,37.11,79.93,https://en.wikipedia.org/wiki/Hotan
kolonia,Kolonia (Ponape),,,,,,6.96,158.21,https://en.wikipedia.org/wiki/Kolonia
kongju,Kōshū (Kongju),,Kongju (Kōshū),공주,公州,公州,36.45,127.12,https://en.wikipedia.org/wiki/Gongju
kotabharu_c,Kota Bharu,,,,,,6.13,102.24,https://en.wikipedia.org/wiki/Kota_Bharu
kualalipis,Kuala Lipis,,,,,,4.18,102.05,https://en.wikipedia.org/wiki/Kuala_Lipis
kualaterengganu,Kuala Terengganu,,,,,,5.33,103.14,https://en.wikipedia.org/wiki/Kuala_Terengganu
kuantan,Kuantan,,,,,,3.81,103.33,https://en.wikipedia.org/wiki/Kuantan
kunsan,Gunzan (Kunsan),,Kunsan (Gunzan),군산,群山,群山,35.98,126.72,https://en.wikipedia.org/wiki/Gunsan
kushiro,Kushiro,,,구시로,釧路,釧路,42.98,144.38,https://en.wikipedia.org/wiki/Kushiro
bandaaceh,Kutaraja (Banda Aceh),,,,,,5.55,95.32,https://en.wikipedia.org/wiki/Banda_Aceh
kyzyl,Kyzyl,,,,,,51.72,94.44,https://en.wikipedia.org/wiki/Kyzyl
labuan,Labuan,,,,,,5.28,115.25,https://en.wikipedia.org/wiki/Labuan
lae,Lae,,,,,,-6.73,146.99,https://en.wikipedia.org/wiki/Lae
langson,Lang Son,,,,,,21.85,106.76,https://en.wikipedia.org/wiki/L%E1%BA%A1ng_S%C6%A1n_(city)
ledo,Ledo,,,,,,27.3,95.74,https://en.wikipedia.org/wiki/Ledo_Airfield
legazpi,Legazpi,,,,,,13.14,123.73,https://en.wikipedia.org/wiki/Legazpi_Cathedral
lingayen,Lingayen,,,,,,16.02,120.23,https://en.wikipedia.org/wiki/Lingayen
liaoyang,Liáoyáng,e1942,,랴오양,遼陽,遼陽,41.27,123.17,https://en.wikipedia.org/wiki/Liaoyang
lorengau,Lorengau (Manus),,,,,,-2.02,147.27,https://en.wikipedia.org/wiki/Lorengau
linfen,Línfén,,,린펀,臨汾,臨汾,36.09,111.52,https://en.wikipedia.org/wiki/Linfen
laohekou,Lǎohékǒu (Laohokow),,,라오허커우,老河口,老河口,32.39,111.67,https://en.wikipedia.org/wiki/Laohekou
manzhouli,Manchouli (Manzhouli),e1942,Mǎnzhōulǐ (Manchouli),만저우리,満洲里,滿洲里,49.6,117.45,https://en.wikipedia.org/wiki/Manzhouli
maoka,Maoka (Kholmsk),,,홀름스크,真岡,霍爾姆斯克,47.06,142.05,https://en.wikipedia.org/wiki/Kholmsk
masan,Masan,,,마산,馬山,馬山,35.2,128.57,https://en.wikipedia.org/wiki/Masan
matsue,Matsue,,,마쓰에,松江,松江,35.47,133.05,https://en.wikipedia.org/wiki/Matsue
meiktila,Meiktila,,,,,,20.88,95.86,https://en.wikipedia.org/wiki/Meiktila
mergui,Mergui (Myeik),,,,,,12.44,98.6,"https://en.wikipedia.org/wiki/Myeik,_Myanmar"
miri,Miri,,,,,,4.4,113.99,https://en.wikipedia.org/wiki/Miri
mito,Mito,,,,水戸 (Mito),水戶東照宮,36.37,140.47,"https://en.wikipedia.org/wiki/Mito,_Ibaraki"
miyazaki,Miyazaki,,,미야자키,宮崎,宮崎,31.91,131.42,https://en.wikipedia.org/wiki/Miyazaki_(city)
morotai,Morotai (Daruba),,,,,,2.05,128.32,https://en.wikipedia.org/wiki/Morotai_Island_Regency
bangka,Muntok (Bangka),,,,,,-2.07,105.16,https://en.wikipedia.org/wiki/Muntok
muroran,Muroran,,,무로란,室蘭,室蘭,42.32,140.97,https://en.wikipedia.org/wiki/Muroran
korat,Nakhon Ratchasima (Korat),,,,,,14.97,102.1,https://en.wikipedia.org/wiki/Nakhon_Ratchasima
namdinh,Nam Dinh,,,,,,20.42,106.17,https://en.wikipedia.org/wiki/Nam_%C4%90%E1%BB%8Bnh
nara,Nara,,,나라,奈良,奈良,34.69,135.81,https://en.wikipedia.org/wiki/Nara_(city)
noumea,Nouméa,,,,,,-22.28,166.46,https://en.wikipedia.org/wiki/Noum%C3%A9a
panjim,Nova Goa (Panjim),,,,,,15.5,73.83,https://en.wikipedia.org/wiki/Panaji
olongapo,Olongapo (Subic Bay),,,,,,14.83,120.28,https://en.wikipedia.org/wiki/Olongapo
pattani,Pattani,,,,,,6.87,101.25,https://en.wikipedia.org/wiki/Pattani_province
pegu,Pegu (Bago),,,,,,17.34,96.48,"https://en.wikipedia.org/wiki/Bago,_Myanmar"
pekanbaru,Pekanbaru,,,,,,0.51,101.45,https://en.wikipedia.org/wiki/Pekanbaru
petropavlovsk,Petropavlovsk-Kamchatsky,,,,,,53.02,158.65,https://en.wikipedia.org/wiki/Petropavlovsk-Kamchatsky
phuket,Phuket,,,,,,7.88,98.39,https://en.wikipedia.org/wiki/Phuket_province
pingfang,Pingfang,e1942,Píngfáng,핑팡구,平房区,平房,45.61,126.63,"https://en.wikipedia.org/wiki/Pingfang,_Harbin"
pingtung,"Heitō (Píngdōng, Pingtung)",,"Píngdōng (Heitō, Pingtung)",,,屏東,22.68,120.49,https://en.wikipedia.org/wiki/Pingtung_City
pondicherrycity,Pondicherry,,,,,,11.93,79.83,https://en.wikipedia.org/wiki/Pondicherry
portblair,Port Blair,,,,,,11.62,92.73,https://en.wikipedia.org/wiki/Port_Blair
prachuap,Prachuap Khiri Khan,,,,,,11.81,99.8,https://en.wikipedia.org/wiki/Prachuap_Khiri_Khan
prome,Prome (Pyay),,,,,,18.82,95.22,https://en.wikipedia.org/wiki/Pyay
punakha,Punakha,,,,,,27.59,89.88,https://en.wikipedia.org/wiki/Punakha
quzhou,Qúzhōu (Chuchow),,,취현,渠県,渠縣,28.94,118.87,https://en.wikipedia.org/wiki/Quzhou
saga,Saga,,,,佐賀 (Saga),,33.26,130.3,https://en.wikipedia.org/wiki/Saga_(city)
sanya,Samah (Sanya),,Sānyà (Samah),,,三亞,18.25,109.51,https://en.wikipedia.org/wiki/Sanya
samarinda,Samarinda,,,,,,-0.5,117.15,https://en.wikipedia.org/wiki/Samarinda
sandakan,Sandakan,,,,,,5.84,118.12,https://en.wikipedia.org/wiki/Sandakan
savannakhet,Savannakhet,,,,,,16.56,104.75,https://en.wikipedia.org/wiki/Savannakhet
seremban,Seremban,,,,,,2.73,101.94,https://en.wikipedia.org/wiki/Seremban
seria,Seria,,,,,,4.61,114.33,https://en.wikipedia.org/wiki/Seria
shikuka,Shikuka (Poronaysk),,,포로나이스크,敷香,波羅奈斯克,49.22,143.1,https://en.wikipedia.org/wiki/Poronaysk
shillong,Shillong,,,,,,25.58,91.89,https://en.wikipedia.org/wiki/Shillong
songkhla,Songkhla,,,,,,7.2,100.6,https://en.wikipedia.org/wiki/Songkhla
suifenhe,Suifenho (Pogranichnaya),e1942,"Suífēnhé (Suifenho, Pogranichnaya)",,,綏芬河,44.4,131.15,https://en.wikipedia.org/wiki/Suifenhe
suwon,Suigen (Suwŏn),,Suwŏn (Suigen),수원,水原,水原,37.26,127.01,https://en.wikipedia.org/wiki/Suwon
siping,Sìpíng (Ssupingkai),e1942,,쓰핑,四平,四平,43.17,124.35,"https://en.wikipedia.org/wiki/Siping,_Jilin"
songjin,Jōshin (Sŏngjin),,Sŏngjin (Jōshin),김책,金策,金策,40.67,129.2,https://en.wikipedia.org/wiki/Kimchaek
tacloban,Tacloban,,,,,,11.24,125.0,https://en.wikipedia.org/wiki/Tacloban
taiping,Taiping,,,,,,4.85,100.74,https://en.wikipedia.org/wiki/Taiping_Island
taitung,"Taitō (Táidōng, Taitung)",,"Táidōng (Taitō, Taitung)",,,臺東,22.76,121.14,https://en.wikipedia.org/wiki/Taitung_City
taunggyi,Taunggyi,,,,,,20.79,97.04,https://en.wikipedia.org/wiki/Taunggyi
tavoy,Tavoy (Dawei),,,,,,14.08,98.19,"https://en.wikipedia.org/wiki/Dawei,_Myanmar"
tawau,Tawau,,,,,,4.25,117.89,https://en.wikipedia.org/wiki/Tawau
ternate,Ternate,,,,,,0.79,127.38,https://en.wikipedia.org/wiki/Ternate
thanbyuzayat,Thanbyuzayat,,,,,,15.97,97.73,https://en.wikipedia.org/wiki/Thanbyuzayat
cilacap,Tjilatjap (Cilacap),,,,,,-7.73,109.01,https://en.wikipedia.org/wiki/Cilacap_Regency
tottori,Tottori,,,,鳥取 (Tottori),,35.5,134.24,https://en.wikipedia.org/wiki/Tottori_(city)
toungoo,Toungoo,,,,,,18.94,96.43,https://en.wikipedia.org/wiki/Taungoo
danang,Tourane (Da Nang),,,,,,16.07,108.22,https://en.wikipedia.org/wiki/Da_Nang
townsville,Townsville,,,,,,-19.26,146.82,https://en.wikipedia.org/wiki/Townsville
tsu,Tsu,,,셋쓰국,津 (Tsu),攝津國,34.72,136.51,"https://en.wikipedia.org/wiki/Tsu,_Mie"
tulagitown,Tulagi,,,,,,-9.1,160.15,https://en.wikipedia.org/wiki/Tulagi
tongzhou,Tungchow (Tongzhou),,Tōngzhōu (Tungchow),,,通州,39.91,116.66,"https://en.wikipedia.org/wiki/Tongzhou,_Beijing"
tonghua,Tōnghuà,e1942,,퉁화,通化,通化,41.73,125.94,https://en.wikipedia.org/wiki/Tonghua
ube,Ube,,,우베,宇部,宇部,33.95,131.25,"https://en.wikipedia.org/wiki/Ube,_Yamaguchi"
urawa,Urawa,,,,浦和 (Urawa),,35.86,139.65,"https://en.wikipedia.org/wiki/Urawa-ku,_Saitama"
victoriapoint,Victoria Point (Kawthaung),,,,,,9.98,98.55,"https://en.wikipedia.org/wiki/Kawthaung,_Myanmar"
vigan,Vigan,,,,,,17.57,120.39,https://en.wikipedia.org/wiki/Vigan
vinh,Vinh,,,,,,18.68,105.68,https://en.wikipedia.org/wiki/Vinh
ussuriysk,Voroshilov (Ussuriysk/Nikolsk),,,,,,43.8,131.95,https://en.wikipedia.org/wiki/Ussuriysk
wewak,Wewak,,,,,,-3.55,143.63,https://en.wikipedia.org/wiki/Wewak
xiangyang,Xiāngyáng (Siangyang),,,샹양,襄陽,襄陽,32.01,112.12,https://en.wikipedia.org/wiki/Xiangyang
yamagata,Yamagata,,,,山形 (Yamagata),,38.24,140.36,https://en.wikipedia.org/wiki/Yamagata_(city)
yamaguchi,Yamaguchi,,,야마구치,山口,山口,34.19,131.47,https://en.wikipedia.org/wiki/Yamaguchi_(city)
nauru,Yaren (Nauru),,,,,,-0.55,166.92,https://en.wikipedia.org/wiki/Yaren
yenangyaung,Yenangyaung,,,,,,20.46,94.87,https://en.wikipedia.org/wiki/Yenangyaung
yilan,Giran (Yílán),,Yílán (Giran),,,甲子蘭酒文物館,24.76,121.75,https://en.wikipedia.org/wiki/Yilan_Distillery_Chia_Chi_Lan_Liquor_Museum
anyang,Ānyáng (Changteh),,,,安陽,安陽,36.1,114.39,https://en.wikipedia.org/wiki/Anyang
enshi,Ēnshī (Enshih),,,언스,恩施,恩施,30.3,109.49,https://en.wikipedia.org/wiki/Enshi_City
ominato,Ōminato,,,무쓰,大湊 (Ōminato),陸奧,41.29,141.12,"https://en.wikipedia.org/wiki/Mutsu,_Aomori"
otomari,Ōtomari (Korsakov),,,,コルサコフ管区,科爾薩科夫區,46.63,142.78,"https://en.wikipedia.org/wiki/Korsakovsky_District,_Sakhalin_Oblast"
otsu,Ōtsu,,,오쓰,大津,大津,35.02,135.85,https://en.wikipedia.org/wiki/%C5%8Ctsu
komsomolsk,Komsomolsk-on-Amur,,,,,,50.55,137.01,https://en.wikipedia.org/wiki/Komsomolsk-on-Amur
quezoncity,Quezon City,,,,,,14.68,121.04,
beihai,Pakhoi (Beihai),,Běihǎi (Pakhoi),,,北海,21.48,109.12,https://en.wikipedia.org/wiki/Beihai
daxi,Daikei (Dàxī),,Dàxī (Daikei),,大溪 (Daikei),大溪,24.8806,121.2871,https://en.wikipedia.org/wiki/Daxi_District
tamsui,"Tansui (Dànshuǐ, Tamsui)",,"Dànshuǐ (Tansui, Tamsui)",,淡水 (Tansui),淡水,25.1719,121.4439,https://en.wikipedia.org/wiki/Tamsui_District
beipu,Hoppo (Běipǔ),,Běipǔ (Hoppo),,北埔 (Hoppo),北埔,24.6639,121.0681,"https://en.wikipedia.org/wiki/Beipu,_Hsinchu"
puli,Hori (Pǔlǐ),,Pǔlǐ (Hori),,埔里 (Hori),埔里,23.9667,120.9667,"https://en.wikipedia.org/wiki/Puli,_Nantou"
wushe,Musha (Wùshè),,Wùshè (Musha),,霧社 (Musha),霧社,24.0212,121.1323,https://en.wikipedia.org/wiki/Musha_Incident
fangliao,Hōryō (Fāngliáo),,Fāngliáo (Hōryō),,枋寮 (Hōryō),枋寮,22.3656,120.5936,"https://en.wikipedia.org/wiki/Fangliao,_Pingtung"
checheng,Shajō (Chēchéng),,Chēchéng (Shajō),,車城 (Shajō),車城,22.0798,120.7457,"https://en.wikipedia.org/wiki/Checheng,_Pingtung"
mudan,Botansha (Mǔdān),,Mǔdān (Botansha),,牡丹社 (Botansha),牡丹,22.1262,120.7743,"https://en.wikipedia.org/wiki/Mudan,_Pingtung"
hengchun,Kōshun (Héngchūn),,Héngchūn (Kōshun),,恆春 (Kōshun),恆春,22.0039,120.7473,https://en.wikipedia.org/wiki/Hengchun
chamdo,Chamdo (Qamdo),,,,,昌都,31.143,97.17,https://en.wikipedia.org/wiki/Chamdo
nagchuka,"Nagchuka (Nagqu, Naqu)",,,,,那曲,31.476,92.051,https://en.wikipedia.org/wiki/Nagqu
rudok,Rudok (Rutog),,,,,日土,33.38,79.732,https://en.wikipedia.org/wiki/Rutog_County
gartok,Gartok (Gar),,,,,噶爾,31.728,80.337,https://en.wikipedia.org/wiki/Gartok
bovendigoel,Boven Digoel (Tanah Merah),,,,,,-6.09,140.3,https://en.wikipedia.org/wiki/Boven-Digoel_concentration_camp
sarmi,Sarmi,,,,,,-1.87,138.75,https://en.wikipedia.org/wiki/Sarmi
babo,Babo,,,,,,-2.55,133.44,"https://en.wikipedia.org/wiki/Babo,_Indonesia"
sorong,Sorong,,,,,,-0.88,131.25,https://en.wikipedia.org/wiki/Sorong
merauke,Merauke,,,,,,-8.49,140.4,https://en.wikipedia.org/wiki/Merauke
kepi,Kepi,,,,,,-6.54,139.33,"https://en.wikipedia.org/wiki/Kepi,_Indonesia"
atambua,Atamboea (Atambua),,,,,,-9.11,124.89,https://en.wikipedia.org/wiki/Atambua
ocussi,Ocussi (Pante Macassar),,,,,,-9.2,124.37,https://en.wikipedia.org/wiki/Pante_Macassar
mataram,Mataram (Ampenan),,,,,,-8.58,116.12,https://en.wikipedia.org/wiki/Mataram_(city)
bima,Bima,,,,,,-8.46,118.72,https://en.wikipedia.org/wiki/Bima
sumbawabesar,Sumbawa Besar,,,,,,-8.49,117.42,https://en.wikipedia.org/wiki/Sumbawa_Besar
ende,Ende,,,,,,-8.84,121.66,"https://en.wikipedia.org/wiki/Ende,_Indonesia"
larantuka,Larantuka,,,,,,-8.34,123.0,https://en.wikipedia.org/wiki/Larantuka
waingapu,Waingapu,,,,,,-9.66,120.26,https://en.wikipedia.org/wiki/Waingapu
portmoresbytown,Port Moresby,,,,,,-9.4438,147.1803,https://en.wikipedia.org/wiki/Port_Moresby
madang,Madang,,,,,,-5.2246,145.7966,https://en.wikipedia.org/wiki/Madang
salamaua,Salamaua,,,,,,-7.0167,147.05,https://en.wikipedia.org/wiki/Salamaua
wau,Wau,,,,,,-7.3372,146.7164,"https://en.wikipedia.org/wiki/Wau,_Papua_New_Guinea"
samarai,Samarai,,,,,,-10.6167,150.6667,https://en.wikipedia.org/wiki/Samarai
daru,Daru,,,,,,-9.0763,143.2092,https://en.wikipedia.org/wiki/Daru
